  1;1;FAC;PEND;INTP;OTROSP;EXTRAP;MULTAP;SERPUP;SERVIP;NDNCP;ACTUAL;INTA;OTROSA;EXTRAA;MULTAA;SERPUA;SERVIA;NDNCA
1;1;2320;216500;0;33700;40000;0;0;0;0;216500;6000;33700;40000;0;0;0;0
1;1;2321;0;0;0;0;0;0;0;0;140100;0;0;40000;0;62900;0;0
1;1;2322;0;0;0;0;0;0;0;0;166500;0;0;40000;0;62900;0;0
1;1;2323;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0
1;1;2324;-8670;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;1;2325;5379527;0;0;40000;0;0;0;0;176600;129110;0;40000;0;0;0;0
1;1;2326;196402;110;0;40000;0;62900;0;0;191900;6220;0;40000;0;62900;0;0
1;1;2327;0;0;0;0;0;0;0;0;176600;0;33700;40000;0;0;0;0
1;1;2328;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0
1;1;2329;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0
1;1;2330;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;1;2331;-5990;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0
1;1;2332;-100;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;1;2333;0;0;0;0;0;0;0;0;176600;0;33700;40000;0;0;0;0
1;1;2334;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0
1;1;2335;0;0;0;0;0;0;0;0;176600;0;33700;40000;0;0;0;0
1;1;2336;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0
1;1;2337;236200;0;0;0;0;0;0;0;140100;5670;0;40000;0;0;0;0
1;1;2338;0;0;0;0;0;0;0;0;166500;0;33700;40000;0;0;0;0
1;1;2339;0;0;0;0;0;0;0;0;140100;0;0;40000;0;62900;0;0
1;1;2340;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;1;2341;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0
1;1;2342;1343300;97810;0;120000;0;0;0;0;191900;32240;0;40000;0;0;0;0
1;1;2343;176600;0;0;40000;0;62900;4300;0;176600;5850;0;40000;0;62900;4300;0
1;1;2344;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0
1;1;2345;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0
1;1;2346;0;0;0;0;0;0;0;0;166500;0;0;40000;0;62900;0;0
1;1;2347;-700500;0;0;120000;0;0;0;0;140100;0;0;40000;0;0;0;0
1;1;2348;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;1;2349;-148800;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0
1;1;2350;122920;0;0;0;0;0;0;0;191900;2950;33700;40000;0;0;0;0
1;1;2351;-79700;0;0;80000;0;0;0;0;176600;0;0;40000;0;0;0;0
1;1;2352;191371;0;0;40000;0;62900;0;0;191900;6100;0;40000;0;62900;0;0
1;1;2353;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0
1;1;2354;0;0;0;0;0;0;0;0;166500;0;33700;40000;0;0;0;0
1;1;2355;0;0;0;0;0;125800;0;0;0;0;0;0;0;62900;0;0
1;1;2356;0;0;0;0;0;0;228100;0;0;0;0;0;0;0;8500;0
1;1;2357;0;0;0;0;0;0;51000;0;0;0;0;0;0;0;8500;0
fin
