  1;1;FAC;PEND;INTP;OTROSP;EXTRAP;MULTAP;SERPUP;SERVIP;NDNCP;ACTUAL;INTA;OTROSA;EXTRAA;MULTAA;SERPUA;SERVIA;NDNCA
1;1;2265;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0
1;1;2266;191900;0;0;40000;0;0;0;0;191900;4610;0;40000;0;0;0;0
1;1;2267;0;0;0;0;0;0;0;0;140100;0;33700;40000;0;0;0;0
1;1;2268;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;1;2269;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0
1;2;2270;383800;5410;67400;80000;0;0;0;0;191900;10830;33700;40000;0;0;0;0
1;2;2271;1464722;63720;113650;120000;25770;0;0;0;140100;37880;33700;40000;0;0;0;0
1;2;2272;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;2;2273;600;0;0;0;0;0;0;0;176600;10;0;40000;0;0;0;0
1;2;2274;-400;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0
1;2;2275;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0
1;3;2276;1436350;54840;0;120000;83250;0;0;0;166500;34470;0;40000;0;0;0;0
1;3;2277;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0
1;3;2278;2175036;219160;0;120000;0;0;0;0;191900;52200;0;40000;0;0;0;0
1;3;2279;577700;0;0;0;0;0;0;0;140100;13860;0;40000;0;0;0;0
1;3;2280;-8765;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0
1;3;2281;8980;0;0;0;0;0;0;0;176600;220;0;40000;0;0;0;0
1;1;2282;673180;11550;0;40000;0;0;0;0;191900;16160;0;40000;0;0;0;0
1;1;2283;-900;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0
1;1;2284;240163;0;0;0;0;0;0;0;166500;5760;33700;40000;0;0;0;0
1;1;2285;10;0;0;0;0;0;0;0;176600;0;0;40000;0;62900;0;0
1;1;2286;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0
1;1;2287;29190;0;0;0;0;0;0;0;176600;700;0;40000;0;62900;0;0
1;1;2288;0;0;0;0;0;0;0;0;191900;0;0;40000;0;0;0;0
1;1;2289;0;0;0;0;0;0;0;0;176600;0;0;40000;0;62900;0;0
1;1;2290;0;0;0;0;0;0;0;0;191900;0;0;40000;0;62900;0;0
1;1;2291;634472;0;0;0;0;0;0;0;176600;15230;0;40000;0;0;0;0
1;1;2292;81580;0;0;0;0;0;0;0;191900;1960;0;40000;0;0;0;0
1;1;2293;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0
1;1;2294;0;0;0;0;0;0;0;0;191900;0;0;40000;0;0;0;0
